# shot,itor_max
220920006,99444.63547
221129065,55535.99901
221129012,51155.40097
221129011,50238.38662
221129066,47346.39161
221123011,46636.9453
221123010,46319.17469
221129010,45931.06992
221129064,44474.89047
221130071,44148.63514
221201009,44010.36004
221201010,43763.905
221122027,42496.45904
221122026,42117.17564
221122025,41839.69364
221205009,40803.53967
221122024,38345.62507
221130069,37519.84428
220920264,36991.59511
220810019,36941.98594
221201008,36399.01908
221130007,36171.12908
221205008,36011.57689
221123008,35739.14902
221123009,35214.56676
220926010,34910.55592
220809020,34799.72217
220926012,34564.32385
221122020,34448.3087
220809021,34231.83231
221130013,34111.23567
220920263,33985.67853
221122023,33910.40376
220721017,33832.66884
221129009,33760.61732
220721023,33689.37058
220926013,33493.99308
221121117,33475.56098
220920262,33219.68795
220721020,33136.88348
220721016,33070.81913
220915269,32953.2457
221130068,32886.41191
221201166,32806.00295
220721022,32764.84552
221130067,32740.93653
221122019,32739.07983
221121116,32503.49076
220921006,32288.26519
220721018,32287.75934
220920261,32194.68826
220810014,32075.86667
221205007,32060.11571
220810015,31890.14706
220915268,31833.30892
220721021,31682.46887
220810013,31658.95215
220810016,31490.66035
221122018,31441.03183
221130008,31279.3151
221122017,31250.81136
220926011,31055.04924
221122014,30985.48433
221122012,30912.46277
221130010,30871.03809
221122015,30752.4209
221130009,30745.88022
221122013,30673.81091
220721026,30665.82937
220926009,30661.40835
221122016,30654.8623
221201114,30492.55462
220809019,30452.79303
221129013,30416.64886
220926064,29832.01996
221129007,29028.15526
221206011,28814.30894
220915013,28662.71943
221201165,28654.05434
220920009,28651.62372
220915012,28452.28098
220721015,28429.3212
221121115,28174.60476
220915267,28166.59435
220920008,28073.35507
220920007,28036.15975
221130012,28013.14771
220915011,27965.79622
220915266,27590.37169
220721014,27489.49892
220810011,27430.65164
220810012,27271.94581
221130006,27018.2943
220721025,26632.15538
220921009,26514.84607
220721013,26494.90893
220721012,26446.82528
220927011,26292.77547
220921008,26220.97382
221201113,26004.84505
220809018,25891.81038
220809017,25853.13766
221129068,25661.1288
221129005,25447.52708
220921010,25220.13643
220915014,25142.79494
220922118,25067.78043
221206010,24990.07803
220721024,24881.64501
221123063,24851.89813
220629027,24838.4614
221123006,24838.22209
221123012,24743.32622
220926015,24621.49992
220926008,24613.07809
221110005,24469.61306
220921011,24433.78292
220816009,24388.68009
220816010,24292.29097
220628023,24247.90173
220915265,24088.68807
220927010,23985.58001
220927009,23961.78945
220926014,23831.28582
221130014,23779.23266
221129119,23766.07741
220921007,23694.77979
220915008,23654.21034
220915009,23646.93746
220915010,23622.42227
220601131,23474.034
220628019,23397.67695
220628024,23380.96836
221130065,23334.05987
220628018,23234.30876
220810010,23224.37229
220628025,23132.3106
220921117,23115.14916
221205006,23044.96368
221201112,22934.02895
221121114,22652.35921
220318015,22525.40205
221205005,22447.5696
220318020,21737.3789
220927012,21724.55635
220809015,21691.24148
221208011,21650.42974
221122011,21494.63261
220318019,21430.3229
220628035,21427.96036
220318018,21401.74457
220809016,21312.20551
220628017,21196.63683
221208010,21146.4279
221123007,21105.92042
220721011,21039.49337
220628032,20853.04722
220922122,20849.89239
220922120,20829.74428
220922116,20806.77953
220628033,20790.50826
220721010,20703.04443
220623034,20662.70788
220922117,20661.58216
220921116,20597.98269
220316023,20554.07281
220922224,20498.24081
220720013,20471.73955
220922121,20440.02438
220623035,20369.05
220628031,20348.81482
220318017,20270.93243
220927008,20227.28885
221201193,20157.5044
220601130,20092.31811
220316021,20074.00552
220720014,20068.82324
220916013,20026.65755
220913014,19850.55039
220913013,19816.26033
220915006,19703.90504
220318014,19696.12231
220914007,19630.35122
220914237,19623.29692
220914006,19608.46583
220914236,19495.69662
220318016,19487.71787
220926007,19483.82472
220916011,19378.56904
220916016,19353.6684
220914235,19338.38378
220601129,19322.50579
220316022,19303.17391
220916017,19296.37854
220616011,19222.7787
221201007,19215.05691
221121113,19182.45065
221201011,19146.87494
220927007,19111.7652
220719014,19106.36704
220914005,19097.9406
220915007,19088.40269
220616015,19037.53554
220916015,18990.00434
220916010,18973.25907
220922009,18903.43796
220616012,18903.16085
220915005,18893.74468
220922010,18835.73581
221108006,18620.90484
220623041,18585.05346
220922115,18564.72308
220316024,18551.22744
221206009,18484.01639
220517030,18445.32897
220916012,18386.71891
220927013,18331.86356
220623040,18328.52672
220926006,18242.50113
220922123,18190.77668
220518014,18171.76097
220517029,18148.01442
221201006,18100.16583
220922006,17977.04749
220616010,17874.13506
220517012,17788.24509
220518015,17720.42497
220922008,17686.67628
220318013,17632.88477
220517013,17622.34911
220913011,17555.88039
220517014,17447.73112
220921115,17284.44642
220316020,17273.54878
221130005,17073.26881
220916009,16921.50753
220318006,16920.72754
220922007,16571.87898
220913012,16555.20103
220517015,16375.62371
220517019,16340.86641
220517011,16333.87973
220601125,16243.24658
220318012,16178.77217
220517021,16137.81925
220913010,16126.34302
220601128,16120.06496
220517035,16087.38692
220517023,16027.29793
220913009,16025.8816
220628021,15944.65245
220601123,15922.32341
220601126,15794.04771
220316019,15740.34346
220517031,15735.71631
220913008,15608.84533
220601127,15581.72085
220518013,15575.60957
220316016,15567.87216
220517010,15541.15921
220517009,15520.84745
220623023,15475.17396
220316017,15456.87387
220628030,15455.28825
220623024,15431.0238
221109012,15406.24691
220810009,15403.13463
221109008,15388.72545
220719013,15373.88026
221110012,15343.42274
220623019,15318.6293
220922013,15314.27758
220601124,15272.31533
221109011,15228.60514
221110010,15202.93411
221110013,15181.06314
220922012,15163.48063
221123005,15162.08531
220623016,15131.93524
220913007,15118.48125
221109007,15098.76218
220809014,15075.36359
221110008,15070.21428
221109006,15064.99697
220621015,15004.07859
220706015,14990.59756
220623021,14982.75865
221110009,14980.69585
221109009,14971.47803
220922014,14970.10928
220316018,14926.1381
220623026,14919.48497
220623015,14918.35653
221109010,14916.46391
221109005,14886.28579
221110006,14885.48044
220629016,14869.53473
220623025,14829.55066
220623029,14825.09481
220628014,14818.10377
220623030,14807.54857
220628012,14804.54353
220629011,14785.67872
220621011,14782.51918
220621016,14776.39547
220623032,14774.84158
220517025,14770.79534
220809013,14763.45634
220628010,14732.29797
220629015,14717.57289
220922011,14713.05674
220623018,14706.34528
220623028,14703.68563
221110014,14697.42584
220628015,14658.67927
220629014,14638.50626
220427017,14625.12451
220629018,14623.86666
220316007,14593.72499
220316015,14586.35013
220706014,14578.13366
221121112,14532.15779
220628016,14531.32421
220517016,14516.09128
221206008,14479.75955
220621009,14466.70768
220811105,14453.70685
220811074,14443.66036
220316012,14432.73691
220623031,14404.75756
221110007,14403.19885
220517022,14376.04749
221121011,14335.43294
220316013,14333.43536
220621010,14291.31807
221122005,14287.75689
220517028,14284.75781
221121010,14259.21261
220706034,14256.65959
220707019,14256.01653
220707017,14213.01323
220628011,14198.91784
220628009,14175.39869
220621014,14142.32827
221121007,14118.44921
220623033,14104.8898
220621012,14101.78908
221121009,14088.22237
220707027,14055.05822
220707026,14041.64205
220707030,14029.46893
221121008,14024.06158
220517020,14012.58734
220629007,13990.06652
220629008,13967.41105
220610012,13940.78926
220810007,13907.20942
220628034,13896.64736
220707033,13885.62767
